municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
abano terme,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,31
abano terme,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,56
abano terme,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,115
abano terme,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,136
abano terme,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,36
abano terme,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,8
abbadia san salvatore,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,23
abbadia san salvatore,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,7
abbadia san salvatore,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,16
abbadia san salvatore,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
abbadia san salvatore,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,38
abbadia san salvatore,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
abbadia san salvatore,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,44
abbadia san salvatore,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,10
abbadia san salvatore,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
abbasanta,ministero dell'interno,45,54,45-54,1,conto corrente/carta conto,26
abbasanta,ministero dell'interno,55,64,55-64,0,conto corrente/carta conto,6
abbasanta,ministero dell'interno,55,64,55-64,1,conto corrente/carta conto,12
abbiategrasso,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,13
abbiategrasso,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,100
